message,label
Elon Musk'ın yeni projesi! 1 yatır 100 kazan.,spam
Fatma bugün eve gidecekmiş.,normal
Çekiliş sonucunda araba kazanan asil talihli sizsiniz.,spam
Ütü masası nerede?,normal
Emeklilere özel faizsiz kredi imkanı.,spam
"Sohbet hattımızı arayın, yalnız kalmayın.",spam
Halı yıkamada %50 indirim. Evden alıp eve bırakıyoruz.,spam
Eve gelirken ekmek ve süt alır mısın?,normal
Hoca bu gece sinemaya raporu tamamlamış.,normal
Kardeşim sabah eve bilet almış.,normal
Kargom dağıtıma çıkmış.,normal
"Çamaşır makinesi bitti, asar mısın?",normal
Fatma bu gece parka gecikeceğini söyledi.,normal
Madencilik yaparak evden para kazanın.,spam
Müdür haftaya hastaneye telefon etti.,normal
Çiçekleri suladım.,normal
Aradığınız kişiye şu an ulaşılamıyor.,normal
Annem öğleden sonra kafeye iptal etmiş.,normal
Babam sabah tatile erken gelecek.,normal
Kardeşim bu gece kursuna mail atmış.,normal
Hesabınızdan 1.500 TL para çıkışı oldu. Size ait değilse iptal edin: bit.ly/banka,spam
"Sayın kullanıcımız, 2500 TL değerinde hediye çeki kazandınız.",spam
UYAP: Adınıza kayıtlı uzlaştırma dosyası kapatılmadığı takdirde haciz işlemi uygulanacaktır.,spam
Emeklilere özel faizsiz kredi imkanı.,spam
Hukuk Bürosu: Borcunuzu ödemediğiniz takdirde eve icra memurları gelecektir.,spam
"Sınav sonuçları açıklanmış, baktın mı?",normal
Fatma sabah okula gecikeceğini söyledi.,normal
Hesabınızdan 1.500 TL para çıkışı oldu. Size ait değilse iptal edin: bit.ly/banka,spam
Milli Piyango sana çıkmadı ama bizde kazanabilirsin! %100 Hoşgeldin bonusu.,spam
Doktor yarın eve gecikeceğini söyledi.,normal
Ahmet sabah sinemaya bilet almış.,normal
Steam hesabın çalınmasın dikkat et.,normal
Müdür hafta sonu kursuna raporu tamamlamış.,normal
Mehmet sabah kafeye rezervasyon yaptırmış.,normal
Mehmet sabah hastaneye mail atmış.,normal
Kurye öğleden sonra toplantıya haber verdi.,normal
Ayşe birazdan kafeye bilet almış.,normal
Mehmet haftaya işe raporu tamamlamış.,normal
Doğalgaz yardım başvurunuz onaylandı.,spam
Ayşe hafta sonu eve telefon etti.,normal
Su arıtma cihazında dev kampanya! Musluktan zehir içmeyin.,spam
Digiturk Play taraftar paketi ayda sadece 19 TL. Hemen abone ol.,spam
Mehmet hafta sonu markete gidecekmiş.,normal
"İnternet çok yavaş, video izleyemiyorum.",normal
Hesabınızdan 1.500 TL para çıkışı oldu. Size ait değilse iptal edin: bit.ly/banka,spam
Pandemi destek ödemesi hesabınıza yatırılmıştır. Kontrol edin.,spam
Doktor bu gece eve iptal etmiş.,normal
Burs başvurunuz kabul edildi. IBAN gönderin.,spam
İngilizce öğrenmek hiç bu kadar kolay olmamıştı. Online kursa katıl.,spam
Mehmet yarın sinemaya mesaj attı.,normal
"Bedava tatil fırsatı! Bu mesajı 10 kişiye gönder, tatili kap.",spam
Ayşe akşam eve gidecekmiş.,normal
"Sayın Abone, ödenmemiş fatura borcunuzdan dolayı hattınız kapatılacaktır.",spam
Navigasyon yanlış yola soktu.,normal
Burs başvurunuz kabul edildi. IBAN gönderin.,spam
VİP üyelere özel avantajlar başladı. Hemen VİP ol kazan.,spam
Köpeği yürüyüşe çıkardım.,normal
Kardeşim hafta sonu okula bizi bekliyor.,normal
Evde paketleme işi yaparak ayda 10.000 TL kazanın. Kapora gerekmez.,spam
Annem bugün sinemaya gecikeceğini söyledi.,normal
Hukuk Bürosu: Borcunuzu ödemediğiniz takdirde eve icra memurları gelecektir.,spam
Superonline taahhüdünüz bitiyor. Yeni fiyatlardan etkilenmemek için arayın.,spam
Biletleri internetten aldım.,normal
Bankamızdan ön onaylı 50.000 TL krediniz hazır. Şubeye gitmeden kullanın.,spam
Şemsiyeni yanına al.,normal
Babam pazartesi günü eve erken gelecek.,normal
Ahmet haftaya tatile haber verdi.,normal
Facebook hesabınızda şüpheli hareketler tespit edildi.,spam
İşitme cihazlarında devlet ödemeli kampanya.,spam
Banka uygulaması hata veriyor.,normal
Performansını ikiye katla! Bitkisel çözüm.,spam
Ayşe haftaya hastaneye bizi bekliyor.,normal
Linkedin profilinizi kimler görüntüledi? Görmek için tıkla.,spam
Babam akşam kursuna iptal etmiş.,normal
"Sayın kullanıcımız, 2500 TL değerinde hediye çeki kazandınız.",spam
Ceza dosyanızın son günü. Ödeme yapılmazsa tutuklama kararı çıkabilir.,spam
"Bedava tatil fırsatı! Bu mesajı 10 kişiye gönder, tatili kap.",spam
Annem bu gece toplantıya mesaj attı.,normal
Kaybetsen de kazanıyorsun! %30 Kayıp bonusu anında hesabında.,spam
Yeni güvenlik uygulamamız nedeniyle bilgilerinizi güncelleyin.,spam
"Sn. Kullanıcı, kargonuzu teslim almadığınız için hakkınızda yasal işlem başlatılmıştır.",spam
Kredi kartı limitiniz 100.000 TL'ye yükseltildi. Onaylamak için EVET yazın.,spam
Cinsel performans arttırıcı ürünlerde dev indirim.,spam
Dosya masrafı ödemeden kredinizi yapılandırıyoruz. Hukuk bürosunu arayın.,spam
Facebook hesabınızda şüpheli hareketler tespit edildi.,spam
Kurye bugün kafeye mesaj attı.,normal
Market alışverişinizden dolayı puanlarınız birikti. Kullanmak için tıklayın.,spam
Ahmet hafta sonu okula haber verdi.,normal
Kurye pazartesi günü eve bilet almış.,normal
Müdür birazdan sinemaya rezervasyon yaptırmış.,normal
Ahmet yarın kafeye gecikeceğini söyledi.,normal
Milli Piyango sana çıkmadı ama bizde kazanabilirsin! %100 Hoşgeldin bonusu.,spam
Yatırımsız 50 TL deneme bonusunu almak için sitemize üye ol.,spam
"E-Devlet kapısı şifreniz ile giriş yapılmış, size ait değilse tıklayın.",spam
Bitcoin yatırım fırsatlarını kaçırmayın. Şimdi üye olun.,spam
Ahmet bugün toplantıya iptal etmiş.,normal
Müdür birazdan markete erken gelecek.,normal
Ayşe öğleden sonra tatile gelmeyecekmiş.,normal
"Kar yağacakmış, okullar tatil olur mu?",normal
Çekiliş sonucunda araba kazanan asil talihli sizsiniz.,spam
"Sayın Abone, ödenmemiş fatura borcunuzdan dolayı hattınız kapatılacaktır.",spam
"Borcumu gönderdim, kontrol et.",normal
Mangal kömürü almayı unutma.,normal
Garanti BBVA mobil şifreniz bloke oldu. Açmak için tıklayınız.,spam
Canlı Casino keyfi ayağına geldi. Rulet ve Blackjack masaları seni bekliyor.,spam
Ehliyet kursumuzda son kontenjanlar. Erken kayıt avantajı.,spam
Kredi kartı aidat iadeniz hesabınıza tanımlanmıştır. Detaylar için arayın.,spam
Borç kapatma kredisi ile tüm borçlarınızı tek çatı altında toplayın.,spam
Fatma öğleden sonra işe iptal etmiş.,normal
Hesabında kalan bakiyeyi kullanmak için son gün!,spam
Horlamaya son veren mucizevi aparat.,spam
Borç kapatma kredisi ile tüm borçlarınızı tek çatı altında toplayın.,spam
Sınavdan kaç aldın?,normal
Erkeklere özel güç arttırıcı macun kapıda ödeme ile.,spam
Etleri marine ettim.,normal
Çağrı merkezimize eleman aranıyor. Hemen başvurun.,spam
Hesabında kalan bakiyeyi kullanmak için son gün!,spam
"Belge yok, evrak yok! 5 dakika içinde çekim garantisi.",spam
"Bahis sitemize üye olun, 500 TL hoşgeldin bonusu kazanın!",spam
Annem hafta sonu tatile haber verdi.,normal
Horlamaya son veren mucizevi aparat.,spam
Erkeklere özel güç arttırıcı macun kapıda ödeme ile.,spam
Altın fiyatları uçacak! Alım fırsatını kaçırmayın.,spam
Bankamızdan ön onaylı 50.000 TL krediniz hazır. Şubeye gitmeden kullanın.,spam
Ayşe pazartesi günü parka erken gelecek.,normal
Ahmet haftaya toplantıya iptal etmiş.,normal
Kardeşim sabah kafeye mail atmış.,normal
Doktor hafta sonu eve gidecekmiş.,normal
Saç ekiminde şok fiyat! İstanbul'un en iyi kliniğinde saçlarına kavuş.,spam
Akbank Direkt şifrenizle hatalı giriş yapıldı. Güvenliğiniz için tıklayın.,spam
Kardeşim birazdan eve gecikeceğini söyledi.,normal
"Sn. Kullanıcı, kargonuzu teslim almadığınız için hakkınızda yasal işlem başlatılmıştır.",spam
WhatsApp hesabınız başka bir cihazda açıldı. Siz değilseniz tıklayın.,spam
Kilo vermek isteyenler buraya! 1 ayda 10 kilo garanti.,spam
VİP üyelere özel avantajlar başladı. Hemen VİP ol kazan.,spam
Kardeşim sabah markete gidecekmiş.,normal
Ayşe bugün markete mesaj attı.,normal
Facebook hesabınızda şüpheli hareketler tespit edildi.,spam
"Çok teşekkür ederim, harika bir gün geçirdik.",normal
Kredi kartı yıllık aidat iadeniz hesabınıza yansıtılmamıştır. İade için tıklayın.,spam
Türk Telekom fiber internet altyapısı binanıza geldi. Başvuru için arayın.,spam
Babam hafta sonu kafeye bizi bekliyor.,normal
"Diyet yapıyorum, salata yiyeceğim.",normal
Ayşe bu gece tatile mesaj attı.,normal
Yurtdışında çalışma imkanı. Vize işlemleri bizden.,spam
"Bedava tatil fırsatı! Bu mesajı 10 kişiye gönder, tatili kap.",spam
Ahmet pazartesi günü hastaneye bilet almış.,normal
Fatma sabah hastaneye mesaj attı.,normal
Müdür yarın kafeye rezervasyon yaptırmış.,normal
Mehmet bu gece parka mail atmış.,normal
Kredi notunuzu yükseltmek ister misiniz? Danışmanlarımız sizi arasın.,spam
Müdür yarın hastaneye iptal etmiş.,normal
Ayşe yarın okula iptal etmiş.,normal
TikTok jeton hilesi için tıkla.,spam
Madencilik yaparak evden para kazanın.,spam
Ben ısmarlıyorum bu sefer.,normal
Müdür öğleden sonra tatile rezervasyon yaptırmış.,normal
Çekiliş sonucunda araba kazanan asil talihli sizsiniz.,spam
"Bahis sitemize üye olun, 500 TL hoşgeldin bonusu kazanın!",spam
Babam sabah tatile seni sordu.,normal
Mehmet hafta sonu kafeye erken gelecek.,normal
Ahmet öğleden sonra markete bilet almış.,normal
Instagram telif hakkı ihlali nedeniyle hesabınız kapatılacaktır. İtiraz et: bit.ly/insta,spam
Green Card çekiliş sonuçları açıklandı.,spam
Kardeşim pazartesi günü eve haber verdi.,normal
"Halısaha için bir kişi eksik, gelir misin?",normal
Babam akşam işe bilet almış.,normal
Sadece size özel kredi faiz oranları. Son gün bugün!,spam
Linkedin profilinizi kimler görüntüledi? Görmek için tıkla.,spam
Erkeklere özel güç arttırıcı macun kapıda ödeme ile.,spam
Müdür birazdan eve mail atmış.,normal
Arabuluculuk dosyanız hukuk büromuza devredilmiştir. Arayın: 0212...,spam
Twitter mavi tik başvurunuz onaylandı. Tamamlamak için tıklayın.,spam
Hoca akşam toplantıya gecikeceğini söyledi.,normal
Hafta sonu kamp yapalım.,normal
Sigarayı bırakmak artık çok kolay. Bitkisel setimizi deneyin.,spam
Mehmet yarın sinemaya bilet almış.,normal
"Sayın Müşteki, hakkınızda açılan icra takibi başlatılacaktır. Bilgi: 0555...",spam
Kredi kartı yıllık aidat iadeniz hesabınıza yansıtılmamıştır. İade için tıklayın.,spam
Klimanızı yaza hazırladınız mı? Yetkili servis bakımı sadece 100 TL.,spam
Burs başvurunuz kabul edildi. IBAN gönderin.,spam
Bitcoin yatırım fırsatlarını kaçırmayın. Şimdi üye olun.,spam
Babam öğleden sonra işe telefon etti.,normal
Numaranız ödül havuzunda seçildi! Bilgi için EVET yazıp gönderin.,spam
Hesabında kalan bakiyeyi kullanmak için son gün!,spam
Doktor hafta sonu tatile gidecekmiş.,normal
Kulaklığımı bulamıyorum.,normal
Fatma sabah eve bilet almış.,normal
Yönetici akşam toplantıya erken gelecek.,normal
Annem öğleden sonra eve telefon etti.,normal
Müdür öğleden sonra sinemaya bizi bekliyor.,normal
Kişiye özel arkadaşlık sitesi. Yalnızlığa son verin!,spam
Taşınmayı düşünüyoruz.,normal
Yönetici bugün toplantıya haber verdi.,normal
Linkedin profilinizi kimler görüntüledi? Görmek için tıkla.,spam
Acil! Hesabınız bloke edilmiştir. Bilgilerinizi güncellemek için tıklayın.,spam
Bankamatik kartınız kopyalanmış olabilir. Şifrenizi değiştirmek için tıklayın.,spam
Ayşe sabah işe mesaj attı.,normal
Doktor pazartesi günü kursuna gecikeceğini söyledi.,normal
Arabuluculuk dosyanız hukuk büromuza devredilmiştir. Arayın: 0212...,spam
Müdür sabah işe raporu tamamlamış.,normal
Deneme bonusu hesabına tanımlandı. Çevrim şartsız çekim yapabilirsin.,spam
Ayşe yarın tatile erken gelecek.,normal
"Seni çok özledim, ne zaman görüşeceğiz?",normal
Kurye hafta sonu markete gelmeyecekmiş.,normal
Ayşe birazdan toplantıya bizi bekliyor.,normal
Falcı bacı şimdi online. İlk fal ücretsiz.,spam
Forex piyasasında kaldıraçlı işlem sinyalleri.,spam
Kardeşim yarın tatile telefon etti.,normal
İngilizce öğrenmek hiç bu kadar kolay olmamıştı. Online kursa katıl.,spam
Yüzmeye gidelim mi?,normal
Müdür haftaya kursuna bizi bekliyor.,normal
Müdür haftaya kafeye haber verdi.,normal
Elektrik faturası iadeniz var.,spam
"Sayın kullanıcımız, 2500 TL değerinde hediye çeki kazandınız.",spam
"E-Devlet kapısı şifreniz ile giriş yapılmış, size ait değilse tıklayın.",spam
Fatma akşam işe seni sordu.,normal
Hesabında kalan bakiyeyi kullanmak için son gün!,spam
Tatlılar benden.,normal
"Bu şarkı kimin, çok güzelmiş.",normal
Fatma hafta sonu işe iptal etmiş.,normal
"Lastik patladı, geç kalacağım.",normal
Ayşe öğleden sonra kafeye gelmeyecekmiş.,normal
Fatma sabah hastaneye iptal etmiş.,normal
Altın fiyatları düşmüş.,normal
Ayşe bu gece eve gidecekmiş.,normal
Doktor pazartesi günü tatile mail atmış.,normal
Varislerinizden ameliyatsız kurtulun.,spam
Annem bugün toplantıya iptal etmiş.,normal
Hoca sabah markete gelmeyecekmiş.,normal
Hakkınızda tazminat davası açılmıştır. Dava dosyasını görmek için tıklayın.,spam
Annem haftaya eve haber verdi.,normal
Yönetici bu gece hastaneye gecikeceğini söyledi.,normal
FAST işleminiz askıda kaldı. Tamamlamak için tıklayınız.,spam
"Fal baktırdım, çok ilginç şeyler çıktı.",normal
Mehmet sabah kursuna erken gelecek.,normal
Yönetici öğleden sonra işe telefon etti.,normal
Ahmet yarın toplantıya bizi bekliyor.,normal
"Tebrikler, 10.000 TL ödül kazandınız! Şifreniz: A123",spam
Kurye akşam hastaneye mesaj attı.,normal
Kurye yarın eve bizi bekliyor.,normal
TikTok jeton hilesi için tıkla.,spam
"Sayın Müşteki, hakkınızda açılan icra takibi başlatılacaktır. Bilgi: 0555...",spam
Instagram telif hakkı ihlali nedeniyle hesabınız kapatılacaktır. İtiraz et: bit.ly/insta,spam
Dosya masrafı ödemeden kredinizi yapılandırıyoruz. Hukuk bürosunu arayın.,spam
Müdür pazartesi günü kafeye erken gelecek.,normal
Markete gidiyorum bir isteğin var mı?,normal
Bu kıyafeti nereden aldın?,normal
Hoca bugün parka mail atmış.,normal
Sigorta borcunuzdan dolayı araç haczi uygulanacaktır.,spam
"Yapay zeka robotu sizin yerinize işlem yapsın, siz uyurken kazanın.",spam
"Vodafone Red tarifesine geç, sınırsız internetin keyfini çıkar.",spam
"Sayın kullanıcımız, 2500 TL değerinde hediye çeki kazandınız.",spam
Mehmet bugün okula mesaj attı.,normal
Bu filmi mutlaka izlemelisin.,normal
Halkbank esnaf kredisi başvurunuz onaylandı.,spam
Yarınki maç kaçta başlıyor?,normal
Varislerinizden ameliyatsız kurtulun.,spam
Müdür pazartesi günü kursuna bizi bekliyor.,normal
Halkbank esnaf kredisi başvurunuz onaylandı.,spam
Tüketici hakem heyeti kararınız sonuçlandı. Öğrenmek için tıklayın.,spam
Horlamaya son veren mucizevi aparat.,spam
Babam yarın sinemaya bilet almış.,normal
"Sn. Kullanıcı, kargonuzu teslim almadığınız için hakkınızda yasal işlem başlatılmıştır.",spam
Bebek çok tatlıydı.,normal
Kardeşim bu gece işe gecikeceğini söyledi.,normal
İş teklifi aldım.,normal
Deneme bonusu hesabına tanımlandı. Çevrim şartsız çekim yapabilirsin.,spam
Madencilik yaparak evden para kazanın.,spam
Haftasonuna özel FreeSpin yağmuru başladı. Slot oyunlarında geçerli.,spam
Kredi kartı limitiniz 100.000 TL'ye yükseltildi. Onaylamak için EVET yazın.,spam
Saç ekiminde şok fiyat! İstanbul'un en iyi kliniğinde saçlarına kavuş.,spam
Kardeşim öğleden sonra kafeye gelmeyecekmiş.,normal
"Perdeleri yıkadım, asmam lazım.",normal
Instagram telif hakkı ihlali nedeniyle hesabınız kapatılacaktır. İtiraz et: bit.ly/insta,spam
Yönetici bugün markete erken gelecek.,normal
Twitter mavi tik başvurunuz onaylandı. Tamamlamak için tıklayın.,spam
"Bedava tatil fırsatı! Bu mesajı 10 kişiye gönder, tatili kap.",spam
İlamsız icra takibine itiraz süreniz dolmak üzeredir.,spam
Doktor yarın tatile telefon etti.,normal
Kardeşim haftaya markete erken gelecek.,normal
"Arkadaşını getir, her getirdiğin kişi için 100 TL kazan.",spam
Doktor yarın işe gecikeceğini söyledi.,normal
Müdür hafta sonu maça bizi bekliyor.,normal
"E-Devlet kapısı şifreniz ile giriş yapılmış, size ait değilse tıklayın.",spam
Yönetici yarın işe raporu tamamlamış.,normal
Mehmet pazartesi günü işe bilet almış.,normal
Elektrik faturası iadeniz var.,spam
Müdür yarın kursuna telefon etti.,normal
Yönetici yarın parka erken gelecek.,normal
"Vodafone Red tarifesine geç, sınırsız internetin keyfini çıkar.",spam
"Hemen arayın, borçlarınızı yapılandıralım. 0850 123 45 67",spam
"Amazon hisselerine yatırım yapın, dolar kazanın.",spam
Ahmet akşam işe telefon etti.,normal
Sigorta borcunuzdan dolayı araç haczi uygulanacaktır.,spam
Haftasonuna özel FreeSpin yağmuru başladı. Slot oyunlarında geçerli.,spam
Spotify listeni takip ettim.,normal
Doktor haftaya kursuna seni sordu.,normal
Kurye yarın maça iptal etmiş.,normal
Kira yardımı almak için formu doldurun.,spam
Varislerinizden ameliyatsız kurtulun.,spam
Ayşe akşam işe mesaj attı.,normal
Kardeşim pazartesi günü kafeye haber verdi.,normal
Bulaşık makinesini boşaltır mısın?,normal
İlamsız icra takibine itiraz süreniz dolmak üzeredir.,spam
Hesabınızdan 1.500 TL para çıkışı oldu. Size ait değilse iptal edin: bit.ly/banka,spam
Yeni bilgisayar almam lazım.,normal
Babam bugün hastaneye telefon etti.,normal
Instagram hesabınız çalınmaya çalışıldı. Şifrenizi değiştirmek için tıklayın.,spam
Green Card çekiliş sonuçları açıklandı.,spam
Annem sabah parka rezervasyon yaptırmış.,normal
"Arkadaşını getir, her getirdiğin kişi için 100 TL kazan.",spam
Babam sabah toplantıya gelmeyecekmiş.,normal
Bitcoin yatırım fırsatlarını kaçırmayın. Şimdi üye olun.,spam
Komşu gürültü yapıyor yine.,normal
Mehmet akşam tatile seni sordu.,normal
"Vodafone Red tarifesine geç, sınırsız internetin keyfini çıkar.",spam
Yurtdışında çalışma imkanı. Vize işlemleri bizden.,spam
Cinsel performans arttırıcı ürünlerde dev indirim.,spam
Mehmet akşam işe gecikeceğini söyledi.,normal
Ahmet birazdan parka haber verdi.,normal
Ehliyet kursumuzda son kontenjanlar. Erken kayıt avantajı.,spam
"Selam, yarın akşam müsait misin?",normal
Kredi kartı aidat iadeniz hesabınıza tanımlanmıştır. Detaylar için arayın.,spam
Annem sabah parka erken gelecek.,normal
"Sn. Kullanıcı, kargonuzu teslim almadığınız için hakkınızda yasal işlem başlatılmıştır.",spam
Babam öğleden sonra toplantıya raporu tamamlamış.,normal
Hesabı Alman usulü ödeyelim.,normal
"Amazon hisselerine yatırım yapın, dolar kazanın.",spam
UYAP: Adınıza kayıtlı uzlaştırma dosyası kapatılmadığı takdirde haciz işlemi uygulanacaktır.,spam
Superonline taahhüdünüz bitiyor. Yeni fiyatlardan etkilenmemek için arayın.,spam
Sigarayı bırakmak artık çok kolay. Bitkisel setimizi deneyin.,spam
Kardeşim bu gece okula telefon etti.,normal
Forex piyasasında kaldıraçlı işlem sinyalleri.,spam
Yönetici birazdan markete bilet almış.,normal
Çağrı merkezimize eleman aranıyor. Hemen başvurun.,spam
Yıllık izin planını sisteme girdin mi?,normal
Kardeşim hafta sonu hastaneye mesaj attı.,normal
Emeklilere özel faizsiz kredi imkanı.,spam
Müdür yarın okula haber verdi.,normal
Doktor bu gece toplantıya gecikeceğini söyledi.,normal
Doktor pazartesi günü hastaneye gecikeceğini söyledi.,normal
Bankamatik kartınız kopyalanmış olabilir. Şifrenizi değiştirmek için tıklayın.,spam
Mehmet haftaya kafeye gecikeceğini söyledi.,normal
"Arkadaşını getir, her getirdiğin kişi için 100 TL kazan.",spam
Kilo vermek isteyenler buraya! 1 ayda 10 kilo garanti.,spam
Kaybetsen de kazanıyorsun! %30 Kayıp bonusu anında hesabında.,spam
"Arkadaşını getir, her getirdiğin kişi için 100 TL kazan.",spam
Nakliye şirketiyle anlaştık.,normal
İşitme cihazlarında devlet ödemeli kampanya.,spam
Müdür bugün maça gelmeyecekmiş.,normal
Babam hafta sonu kafeye bizi bekliyor.,normal
Ahmet birazdan işe mail atmış.,normal
Ayşe yarın markete telefon etti.,normal
Ehliyet kursumuzda son kontenjanlar. Erken kayıt avantajı.,spam
Kardeşim haftaya kafeye mail atmış.,normal
Yüksek lisans başvuruları başlamış.,normal
Annem bu gece sinemaya seni sordu.,normal
Ahmet bugün sinemaya haber verdi.,normal
Annem bu gece işe gecikeceğini söyledi.,normal
Kardeşim bu gece parka gecikeceğini söyledi.,normal
Yönetici öğleden sonra eve iptal etmiş.,normal
Düğün davetiyesi geldi.,normal
Annem pazartesi günü toplantıya telefon etti.,normal
Ayşe birazdan parka iptal etmiş.,normal
Kira yardımı almak için formu doldurun.,spam
Annem akşam okula telefon etti.,normal
Yönetici yarın markete seni sordu.,normal
Elon Musk'ın yeni projesi! 1 yatır 100 kazan.,spam
Hoca pazartesi günü işe seni sordu.,normal
Çekiliş sonucunda araba kazanan asil talihli sizsiniz.,spam
Mehmet bugün parka seni sordu.,normal
Türk Telekom fiber internet altyapısı binanıza geldi. Başvuru için arayın.,spam
Pandemi destek ödemesi hesabınıza yatırılmıştır. Kontrol edin.,spam
Doktor pazartesi günü sinemaya gidecekmiş.,normal
TikTok jeton hilesi için tıkla.,spam
Bana konum atabilir misin?,normal
FAST işleminiz askıda kaldı. Tamamlamak için tıklayınız.,spam
UYAP: Adınıza kayıtlı uzlaştırma dosyası kapatılmadığı takdirde haciz işlemi uygulanacaktır.,spam
İngilizce öğrenmek hiç bu kadar kolay olmamıştı. Online kursa katıl.,spam
"Tebrikler, 10.000 TL ödül kazandınız! Şifreniz: A123",spam
Babam öğleden sonra sinemaya mail atmış.,normal
Fatma sabah parka seni sordu.,normal
Derbiye özel 50.00 oran! Galatasaray - Fenerbahçe maçı için tıkla.,spam
Halı yıkamada %50 indirim. Evden alıp eve bırakıyoruz.,spam
Ayşe bu gece kafeye erken gelecek.,normal
Hakkınızda yapılan şikayet üzerine ifadeye çağrılacaksınız. Detaylar linkte.,spam
Kilo vermek isteyenler buraya! 1 ayda 10 kilo garanti.,spam
Evde paketleme işi yaparak ayda 10.000 TL kazanın. Kapora gerekmez.,spam
Doktor randevum saat 10:30'da.,normal
Kurye pazartesi günü sinemaya telefon etti.,normal
Halı yıkamada %50 indirim. Evden alıp eve bırakıyoruz.,spam
Çadırı ve uyku tulumunu hazırladım.,normal
Müdür akşam kafeye haber verdi.,normal
UYAP: Adınıza kayıtlı uzlaştırma dosyası kapatılmadığı takdirde haciz işlemi uygulanacaktır.,spam
"Yazıcı kağıt sıkıştırdı, bakar mısın?",normal
Instagram hesabınız çalınmaya çalışıldı. Şifrenizi değiştirmek için tıklayın.,spam
Kardeşim haftaya eve telefon etti.,normal
Yatırımsız 50 TL deneme bonusunu almak için sitemize üye ol.,spam
Saç ekiminde şok fiyat! İstanbul'un en iyi kliniğinde saçlarına kavuş.,spam
Babam sabah sinemaya mesaj attı.,normal
Cinsel performans arttırıcı ürünlerde dev indirim.,spam
Deneme bonusu hesabına tanımlandı. Çevrim şartsız çekim yapabilirsin.,spam
Başın sağ olsun.,normal
Elon Musk'ın yeni projesi! 1 yatır 100 kazan.,spam
IBAN numaranı atar mısın?,normal
Hakkınızda yapılan şikayet üzerine ifadeye çağrılacaksınız. Detaylar linkte.,spam
Yarın sabah erken kalkmamız gerekiyor.,normal
Yatırımsız 50 TL deneme bonusunu almak için sitemize üye ol.,spam
Müdür bey seni odasına çağırdı.,normal
Müdür bugün sinemaya erken gelecek.,normal
"Bahis sitemize üye olun, 500 TL hoşgeldin bonusu kazanın!",spam
Kurye bu gece tatile bizi bekliyor.,normal
Türk Telekom fiber internet altyapısı binanıza geldi. Başvuru için arayın.,spam
Annem akşam markete rezervasyon yaptırmış.,normal
Müdür yarın okula gecikeceğini söyledi.,normal
Hakkınızda yapılan şikayet üzerine ifadeye çağrılacaksınız. Detaylar linkte.,spam
Mehmet birazdan parka gelmeyecekmiş.,normal
Bankamızdan ön onaylı 50.000 TL krediniz hazır. Şubeye gitmeden kullanın.,spam
Kargom ne zaman teslim edilecek?,normal
Ahmet bu gece tatile rezervasyon yaptırmış.,normal
Fatma yarın sinemaya bilet almış.,normal
Babam akşam parka telefon etti.,normal
Bel ve boyun ağrılarınızdan kurtulun. Manyetik korse.,spam
Digiturk Play taraftar paketi ayda sadece 19 TL. Hemen abone ol.,spam
Klimanızı yaza hazırladınız mı? Yetkili servis bakımı sadece 100 TL.,spam
Kardeşim bugün okula telefon etti.,normal
Hakkınızda tazminat davası açılmıştır. Dava dosyasını görmek için tıklayın.,spam
Doktor sabah işe bizi bekliyor.,normal
"Rüyamda seni gördüm, hayırdır inşallah.",normal
Mehmet yarın sinemaya gelmeyecekmiş.,normal
"Yapay zeka robotu sizin yerinize işlem yapsın, siz uyurken kazanın.",spam
Yeni güvenlik uygulamamız nedeniyle bilgilerinizi güncelleyin.,spam
Ahmet yarın maça bilet almış.,normal
Fatma bu gece sinemaya bizi bekliyor.,normal
Borç kapatma kredisi ile tüm borçlarınızı tek çatı altında toplayın.,spam
Hoca haftaya parka raporu tamamlamış.,normal
Fatma pazartesi günü tatile bilet almış.,normal
Ayşe pazartesi günü hastaneye gelmeyecekmiş.,normal
Hangi marka laptop önerirsin?,normal
Kredi notunuzu yükseltmek ister misiniz? Danışmanlarımız sizi arasın.,spam
İlamsız icra takibine itiraz süreniz dolmak üzeredir.,spam
Okul bitince ne yapacaksın?,normal
Haftasonuna özel FreeSpin yağmuru başladı. Slot oyunlarında geçerli.,spam
Falcı bacı şimdi online. İlk fal ücretsiz.,spam
Yönetici birazdan hastaneye bilet almış.,normal
Cinsel performans arttırıcı ürünlerde dev indirim.,spam
Müdür hafta sonu markete raporu tamamlamış.,normal
Yönetici pazartesi günü işe iptal etmiş.,normal
Yönetici öğleden sonra maça raporu tamamlamış.,normal
Instagram hesabınız çalınmaya çalışıldı. Şifrenizi değiştirmek için tıklayın.,spam
Altın fiyatları uçacak! Alım fırsatını kaçırmayın.,spam
Mehmet pazartesi günü parka mail atmış.,normal
Kahve içmeden uyanamıyorum.,normal
"Çan eğrisi varmış, geçme notu düştü.",normal
Babam sabah tatile seni sordu.,normal
"Bedava tatil fırsatı! Bu mesajı 10 kişiye gönder, tatili kap.",spam
Ahmet akşam markete gelmeyecekmiş.,normal
Ceza dosyanızın son günü. Ödeme yapılmazsa tutuklama kararı çıkabilir.,spam
Kitabımı sende unutmuşum.,normal
"Arkadaşını getir, her getirdiğin kişi için 100 TL kazan.",spam
Müdür öğleden sonra okula seni sordu.,normal
Doğum günün kutlu olsun! Nice mutlu yıllara.,normal
Doktor sabah hastaneye haber verdi.,normal
